2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:33 |INFO  |main |MyMetaObjectHandler.java:20 |com.lcl.college.service.base.handler.MyMetaObjectHandler |start insert fill ....
2021-05-07 00:07:34 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2021-05-07 00:07:34 |INFO  |SpringContextShutdownHook |HikariDataSource.java:350 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Shutdown initiated...
2021-05-07 00:07:34 |INFO  |SpringContextShutdownHook |HikariDataSource.java:352 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Shutdown completed.
